target,pharm_action,gene,uniprot_id,drugbank_id
Alpha-2B adrenergic receptor,Yes,ADRA2B,P18089,DB00484
Alpha-2C adrenergic receptor,Yes,ADRA2C,P18825,DB00484
Spike glycoprotein,Yes,S,P0DTC2,DB12411
Tubulin alpha-1A chain,Yes,TUBA1A,Q71U36,DB00570
Tubulin beta chain,Yes,TUBB,P07437,DB00570
Tubulin delta chain,Yes,TUBD1,Q9UJT1,DB00570
Tubulin gamma-1 chain,Yes,TUBG1,P23258,DB00570
Tubulin epsilon chain,Yes,TUBE1,Q9UJT0,DB00570
Transcription factor AP-1,No,JUN,P05412,DB00570
HIV-1 protease,Yes,HIV-1 protease,O90777,DB00220
Histone deacetylase 7,Unknown,HDAC7,Q8WUI4,DB04297
Histone deacetylase 8,Unknown,HDAC8,Q9BY41,DB04297
Acetoin utilization protein,Unknown,acuC1,O67135,DB04297
Caspase-8,Unknown,CASP8,Q14790,DB04297
Prostaglandin E2 Receptors (Protein Group),Unknown,,,DB04297
Tumor necrosis factor,Unknown,TNF,P01375,DB04297
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB01162
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB01162
Alpha-1D adrenergic receptor,Yes,ADRA1D,P25100,DB01162
Transforming growth factor beta-1,Yes,TGFB1,P01137,DB01162
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB01162
Potassium voltage-gated channel subfamily H member 6,Unknown,KCNH6,Q9H252,DB01162
Potassium voltage-gated channel subfamily H member 7,Unknown,KCNH7,Q9NS40,DB01162
Sodium-dependent dopamine transporter,Yes,SLC6A3,Q01959,DB00907
Sodium-dependent noradrenaline transporter,Yes,SLC6A2,P23975,DB00907
Sodium channel protein (Protein Group),Yes,,,DB00907
Sodium-dependent serotonin transporter,Yes,SLC6A4,P31645,DB00907
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00907
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB00907
Sigma non-opioid intracellular receptor 1,Unknown,SIGMAR1,Q99720,DB00907
Liver carboxylesterase 1,Unknown,CES1,P23141,DB00907
Carbonic anhydrase 1,Yes,CA1,P00915,DB00819
Carbonic anhydrase 2,Yes,CA2,P00918,DB00819
Carbonic anhydrase 4,Yes,CA4,P22748,DB00819
Carbonic anhydrase 12,Yes,CA12,O43570,DB00819
Carbonic anhydrase 14,Yes,CA14,Q9ULX7,DB00819
Carbonic anhydrase 3,Yes,CA3,P07451,DB00819
Carbonic anhydrase 7,Yes,CA7,P43166,DB00819
Aquaporin-1,Unknown,AQP1,P29972,DB00819
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00784
Prostaglandin G/H synthase 1,Unknown,PTGS1,P23219,DB00784
Cyclin-dependent kinase 4,Yes,CDK4,P11802,DB09073
Cyclin-dependent kinase 6,Yes,CDK6,Q00534,DB09073
Integrase,Yes,pol,Q7ZJM1,DB08930
Amine oxidase [flavin-containing] B,Yes,MAOB,P27338,DB01626
Amine oxidase [flavin-containing] A,Unknown,MAOA,P21397,DB01626
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00388
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00388
Alpha-1D adrenergic receptor,Yes,ADRA1D,P25100,DB00388
Sodium-dependent serotonin transporter,Unknown,SLC6A4,P31645,DB08839
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB08839
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB08839
5-hydroxytryptamine receptor 3B,Unknown,HTR3B,O95264,DB08839
Synaptic vesicular amine transporter,Unknown,SLC18A2,Q05940,DB08839
Somatostatin receptor type 1,Yes,SSTR1,P30872,DB09099
Somatostatin receptor type 2,Yes,SSTR2,P30874,DB09099
Somatostatin receptor type 3,Yes,SSTR3,P32745,DB09099
Somatostatin receptor type 4,Yes,SSTR4,P31391,DB09099
Somatostatin receptor type 5,Yes,SSTR5,P35346,DB09099
Tyrosine-protein kinase ABL1,Yes,ABL1,P00519,DB01254
Proto-oncogene tyrosine-protein kinase Src,Yes,SRC,P12931,DB01254
Ephrin type-A receptor 2,Yes,EPHA2,P29317,DB01254
Tyrosine-protein kinase Lck,Yes,LCK,P06239,DB01254
Tyrosine-protein kinase Yes,Yes,YES1,P07947,DB01254
Mast/stem cell growth factor receptor Kit,Yes,KIT,P10721,DB01254
Platelet-derived growth factor receptor beta,Yes,PDGFRB,P09619,DB01254
Signal transducer and activator of transcription 5B,Unknown,STAT5B,P51692,DB01254
Tyrosine-protein kinase ABL2,Unknown,ABL2,P42684,DB01254
Tyrosine-protein kinase Fyn,Yes,FYN,P06241,DB01254
Tyrosine-protein kinase BTK,Unknown,BTK,Q06187,DB01254
Nuclear receptor subfamily 4 group A member 3,Unknown,NR4A3,Q92570,DB01254
Breakpoint cluster region protein,Yes,BCR,P11274,DB01254
Tyrosine-protein kinase CSK,Unknown,CSK,P41240,DB01254
Ephrin type-A receptor 5,Unknown,EPHA5,P54756,DB01254
Ephrin type-B receptor 4,Unknown,EPHB4,P54760,DB01254
Tyrosine-protein kinase Fgr,Unknown,FGR,P09769,DB01254
Tyrosine-protein kinase FRK,Unknown,FRK,P42685,DB01254
Heat shock cognate 71 kDa protein,Unknown,HSPA8,P11142,DB01254
Tyrosine-protein kinase Lyn,Unknown,LYN,P07948,DB01254
Mitogen-activated protein kinase kinase kinase MLT,Unknown,ZAK,Q9NYL2,DB01254
Mitogen-activated protein kinase 14,Unknown,MAPK14,Q16539,DB01254
Amidophosphoribosyltransferase,Unknown,PPAT,Q06203,DB01254
Cyclin-dependent kinase 2,Unknown,CDK2,P24941,DB08142
Cyclin-dependent kinase 1,Unknown,CDK1,P06493,DB08142
"Dihydroorotate dehydrogenase (quinone), mitochondrial",Yes,DHODH,Q02127,DB01097
Aryl hydrocarbon receptor,Unknown,AHR,P35869,DB01097
Protein-tyrosine kinase 2-beta,Unknown,PTK2B,Q14289,DB01097
Melatonin receptor type 1A,Yes,MTNR1A,P48039,DB01065
Melatonin receptor type 1B,Yes,MTNR1B,P49286,DB01065
Estrogen receptor alpha,Unknown,ESR1,P03372,DB01065
Nuclear receptor ROR-beta,Unknown,RORB,Q92753,DB01065
Calmodulin,Unknown,CALM1,P0DP23,DB01065
Myeloperoxidase,Unknown,MPO,P05164,DB01065
Eosinophil peroxidase,Unknown,EPX,P11678,DB01065
Calreticulin,Unknown,CALR,P27797,DB01065
Acetylserotonin O-methyltransferase,Unknown,ASMT,P46597,DB01065
Ribosyldihydronicotinamide dehydrogenase [quinone],Unknown,NQO2,P16083,DB01065
Nicotinamide phosphoribosyltransferase,Unknown,NAMPT,P43490,DB12980
Carbonic anhydrase 2,Yes,CA2,P00918,DB00869
Carbonic anhydrase 4,Yes,CA4,P22748,DB00869
Carbonic anhydrase 1,Yes,CA1,P00915,DB00869
Carbonic anhydrase 3,Unknown,CA3,P07451,DB00869
DNA polymerase catalytic subunit,Yes,Not Available,P04293,DB00787
DNA polymerase catalytic subunit,Yes,Not Available,P09252,DB00787
Dihydrofolate reductase,Unknown,DHFR,P00374,DB06358
Dopamine D2 receptor,Yes,DRD2,P14416,DB00477
Dopamine D1 receptor,Yes,DRD1,P21728,DB00477
5-hydroxytryptamine receptor 1A,Yes,HTR1A,P08908,DB00477
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00477
Alpha-1A adrenergic receptor,Yes,ADRA1A,P35348,DB00477
Alpha-1B adrenergic receptor,Yes,ADRA1B,P35368,DB00477
Histamine H1 receptor,Yes,HRH1,P35367,DB00477
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00477
D(1) dopamine receptor (Protein Group),Unknown,,,DB00477
Dopamine D3 receptor,Unknown,DRD3,P35462,DB00477
Dopamine D4 receptor,Unknown,DRD4,P21917,DB00477
Dopamine D5 receptor,Unknown,DRD5,P21918,DB00477
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00477
5-hydroxytryptamine 2 receptor (Protein Group),Unknown,,,DB00477
Alpha-1 adrenergic receptors (Protein Group),Unknown,,,DB00477
Alpha-2 adrenergic receptors (Protein Group),Unknown,,,DB00477
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00477
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00477
Sphingomyelin phosphodiesterase,Unknown,SMPD1,P17405,DB00477
Calmodulin,Unknown,CALM1,P0DP23,DB00477
alpha1-acid glycoprotein (Protein Group),Unknown,,,DB00477
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB00477
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00477
Histamine H4 receptor,Unknown,HRH4,Q9H3N8,DB00477
"cAMP-specific 3',5'-cyclic phosphodiesterase 4 (PDE4) (Protein Group)",Yes,,,DB01427
,Yes,,,DB01427
"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Yes,PDE3A,Q14432,DB01427
"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Unknown,PDE3B,Q13370,DB01427
Tumor necrosis factor,Unknown,TNF,P01375,DB01427
"Dihydroorotate dehydrogenase (quinone), mitochondrial",Unknown,DHODH,Q02127,DB03523
Androgen receptor,Yes,AR,P10275,DB00499
Aryl hydrocarbon receptor,Unknown,AHR,P35869,DB00499
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB00499
NMDA receptor (Protein Group),Unknown,,,DB11823
"Glutamate receptor ionotropic, NMDA 2B",Unknown,GRIN2B,Q13224,DB11823
Elongation factor 2,Unknown,EEF2,P13639,DB11823
Brain-derived neurotrophic factor,Unknown,BDNF,P23560,DB11823
BDNF/NT-3 growth factors receptor,Unknown,NTRK2,Q16620,DB11823
Tubulin beta-1 chain,Yes,TUBB1,Q9H4B7,DB01229
Apoptosis regulator Bcl-2,Yes,BCL2,P10415,DB01229
Microtubule-associated protein 4,Yes,MAP4,P27816,DB01229
Microtubule-associated protein 2,Yes,MAP2,P11137,DB01229
Microtubule-associated protein tau,Yes,MAPT,P10636,DB01229
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB01229
"DNA topoisomerase I, mitochondrial",Yes,TOP1MT,Q969P6,DB00762
DNA topoisomerase 1,Yes,TOP1,P11387,DB00762
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00586
Prostaglandin G/H synthase 1,Yes,PTGS1,P23219,DB00586
Histone deacetylase 1,Yes,HDAC1,Q13547,DB06176
Histone deacetylase 2,Yes,HDAC2,Q92769,DB06176
Histone deacetylase 4,No,HDAC4,P56524,DB06176
Histone deacetylase 6,No,HDAC6,Q9UBN7,DB06176
Multidrug resistance-associated protein 1,Unknown,ABCC1,P33527,DB06176
Histone deacetylase (Protein Group),Unknown,,,DB06176
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Yes,PDE4B,Q07343,DB01113
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Unknown,PDE10A,Q9Y233,DB01113
Phosphodiesterase enzymes (Protein Group),Unknown,,,DB01113
Histamine H1 receptor,Yes,HRH1,P35367,DB00342
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00342
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00342
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB00342
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB00342
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB00342
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB00342
Lanosterol 14-alpha demethylase,Yes,ERG11,P50859,DB01026
"Steroid 17-alpha-hydroxylase/17,20 lyase",Yes,CYP17A1,P05093,DB01026
Androgen receptor,Unknown,AR,P10275,DB01026
Steroid 21-hydroxylase,Unknown,CYP21A2,P08686,DB01026
Potassium voltage-gated channel subfamily H member 2,Unknown,KCNH2,Q12809,DB01026
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB01026
Nuclear receptor subfamily 1 group I member 3,Unknown,NR1I3,Q14994,DB01026
Histone deacetylase 1,Yes,HDAC1,Q13547,DB02546
Histone deacetylase 2,Yes,HDAC2,Q92769,DB02546
Histone deacetylase 3,Yes,HDAC3,O15379,DB02546
Histone deacetylase 6,Yes,HDAC6,Q9UBN7,DB02546
Histone deacetylase 8,Unknown,HDAC8,Q9BY41,DB02546
Acetoin utilization protein,Unknown,acuC1,O67135,DB02546
Histone deacetylase (Protein Group),Unknown,,,DB02546
Apoptosis regulator Bcl-2,Yes,BCL2,P10415,DB11581
Vascular endothelial growth factor receptor 1,Yes,FLT1,P17948,DB06626
Vascular endothelial growth factor receptor 2,Yes,KDR,P35968,DB06626
Vascular endothelial growth factor receptor 3,Yes,FLT4,P35916,DB06626
Vascular endothelial growth factor receptor 2,Unknown,KDR,P35968,DB04849
5-hydroxytryptamine receptor 2C,Yes,HTR2C,P28335,DB00502
Dopamine D2 receptor,Yes,DRD2,P14416,DB00502
5-hydroxytryptamine receptor 2A,Unknown,HTR2A,P28223,DB00502
Dopamine D3 receptor,Unknown,DRD3,P35462,DB00502
Melanin-concentrating hormone receptor 1,Unknown,MCHR1,Q99705,DB00502
Synaptic vesicular amine transporter,Unknown,SLC18A2,Q05940,DB00502
Sigma non-opioid intracellular receptor 1,Unknown,SIGMAR1,Q99720,DB00502
Histamine H1 receptor,Unknown,HRH1,P35367,DB00502
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00502
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00502
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00502
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB00502
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB00502
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00502
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB00502
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00502
"Glutamate receptor ionotropic, NMDA 2B",Unknown,GRIN2B,Q13224,DB00502
Dopamine D1 receptor,Unknown,DRD1,P21728,DB00502
Ras-related C3 botulinum toxin substrate 1,Unknown,RAC1,P63000,DB00993
Alpha-1 adrenergic receptors (Protein Group),Yes,,,DB00692
Alpha-2 adrenergic receptors (Protein Group),Unknown,,,DB00692
ATP-sensitive inward rectifier potassium channel 11,Unknown,KCNJ11,Q14654,DB00692
Trefoil factor 1,Unknown,TFF1,P04155,DB04468
Steroid hormone receptor ERR1,Unknown,ESRRA,P11474,DB04468
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB04468
Sex hormone-binding globulin,Unknown,SHBG,P04278,DB04468
Estrogen receptor alpha,Unknown,ESR1,P03372,DB04468
Estrogen receptor beta,Unknown,ESR2,Q92731,DB04468
Estrogen-related receptor gamma,Unknown,ESRRG,P62508,DB04468
Voltage-dependent L-type calcium channel subunit alpha-1C,Yes,CACNA1C,Q13936,DB01115
Voltage-dependent L-type calcium channel subunit alpha-1D,Yes,CACNA1D,Q01668,DB01115
Voltage-dependent L-type calcium channel subunit beta-2,Yes,CACNB2,Q08289,DB01115
Nuclear receptor subfamily 1 group I member 2,Unknown,NR1I2,O75469,DB01115
Calmodulin,Unknown,CALM1,P0DP23,DB01115
Voltage-dependent L-type calcium channel subunit alpha-1S,Unknown,CACNA1S,Q13698,DB01115
Potassium voltage-gated channel subfamily D member 3,Unknown,KCND3,Q9UK17,DB01115
Voltage-dependent T-type calcium channel (Protein Group),Unknown,,,DB01115
Sodium channel protein type 1 subunit alpha,Yes,SCN1A,P35498,DB00909
Sodium channel protein type 2 subunit alpha,Yes,SCN2A,Q99250,DB00909
Sodium channel protein type 3 subunit alpha,Yes,SCN3A,Q9NY46,DB00909
Sodium channel protein type 4 subunit alpha,Yes,SCN4A,P35499,DB00909
Sodium channel protein type 5 subunit alpha,Yes,SCN5A,Q14524,DB00909
Sodium channel protein type 9 subunit alpha,Yes,SCN9A,Q15858,DB00909
Sodium channel protein type 11 subunit alpha,Yes,SCN11A,Q9UI33,DB00909
Sodium channel subunit beta-1,Yes,SCN1B,Q07699,DB00909
Sodium channel subunit beta-2,Yes,SCN2B,O60939,DB00909
Sodium channel subunit beta-3,Yes,SCN3B,Q9NY72,DB00909
Sodium channel subunit beta-4,Yes,SCN4B,Q8IWT1,DB00909
Voltage-dependent T-type calcium channel subunit alpha-1G,Yes,CACNA1G,O43497,DB00909
Voltage-dependent T-type calcium channel subunit alpha-1H,Yes,CACNA1H,O95180,DB00909
Voltage-dependent T-type calcium channel subunit alpha-1I,Yes,CACNA1I,Q9P0X4,DB00909
Carbonic anhydrase 1,Unknown,CA1,P00915,DB00909
Carbonic anhydrase 2,Unknown,CA2,P00918,DB00909
Carbonic anhydrase 3,Unknown,CA3,P07451,DB00909
Carbonic anhydrase 4,Unknown,CA4,P22748,DB00909
"Carbonic anhydrase 5A, mitochondrial",Unknown,CA5A,P35218,DB00909
"Carbonic anhydrase 5B, mitochondrial",Unknown,CA5B,Q9Y2D0,DB00909
Carbonic anhydrase 6,Unknown,CA6,P23280,DB00909
Carbonic anhydrase 7,Unknown,CA7,P43166,DB00909
Carbonic anhydrase-related protein,Unknown,CA8,P35219,DB00909
Carbonic anhydrase 9,Unknown,CA9,Q16790,DB00909
Carbonic anhydrase-related protein 10,Unknown,CA10,Q9NS85,DB00909
Carbonic anhydrase-related protein 11,Unknown,CA11,O75493,DB00909
Carbonic anhydrase 12,Unknown,CA12,O43570,DB00909
Carbonic anhydrase 13,Unknown,CA13,Q8N1Q1,DB00909
Carbonic anhydrase 14,Unknown,CA14,Q9ULX7,DB00909
Amine oxidase [flavin-containing] B,Unknown,MAOB,P27338,DB00909
Amine oxidase [flavin-containing] A,Unknown,MAOA,P21397,DB00909
GABA(A) Receptor Benzodiazepine Binding Site (Protein Group),Unknown,,,DB00909
Dopamine D1 receptor,Unknown,DRD1,P21728,DB00363
Dopamine D2 receptor,Yes,DRD2,P14416,DB00363
Dopamine D3 receptor,Unknown,DRD3,P35462,DB00363
Dopamine D4 receptor,Unknown,DRD4,P21917,DB00363
Dopamine D5 receptor,Unknown,DRD5,P21918,DB00363
5-hydroxytryptamine receptor 1A,Unknown,HTR1A,P08908,DB00363
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB00363
5-hydroxytryptamine receptor 1D,Unknown,HTR1D,P28221,DB00363
5-hydroxytryptamine receptor 1E,Unknown,HTR1E,P28566,DB00363
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00363
5-hydroxytryptamine receptor 3A,Unknown,HTR3A,P46098,DB00363
5-hydroxytryptamine receptor 2C,Unknown,HTR2C,P28335,DB00363
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB00363
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00363
Alpha-2C adrenergic receptor,No,ADRA2C,P18825,DB00363
Histamine H1 receptor,Unknown,HRH1,P35367,DB00363
Histamine H4 receptor,No,HRH4,Q9H3N8,DB00363
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00363
Alpha-1B adrenergic receptor,No,ADRA1B,P35368,DB00363
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00363
Alpha-2B adrenergic receptor,No,ADRA2B,P18089,DB00363
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00363
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB00363
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00363
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB00363
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB00363
Neuron-specific vesicular protein calcyon,Unknown,CALY,Q9NYX4,DB00363
Glutathione S-transferase P,Unknown,GSTP1,P09211,DB00363
Gamma-aminobutyric acid type B receptor subunit 1,Unknown,GABBR1,Q9UBS5,DB00363
Gamma-aminobutyric acid type B receptor subunit 2,Unknown,GABBR2,O75899,DB00363
Gamma-aminobutyric acid receptor subunit alpha-1,Unknown,GABRA1,P14867,DB00363
Gamma-aminobutyric acid receptor subunit beta-1,Unknown,GABRB1,P18505,DB00363
Gamma-aminobutyric acid receptor subunit gamma-1,Unknown,GABRG1,Q8N1C3,DB00363
Epidermal growth factor receptor,Unknown,EGFR,P00533,DB12114
Androgen receptor,Yes,AR,P10275,DB08804
Proto-oncogene c-Fos,Unknown,FOS,P01100,DB08804
5-hydroxytryptamine 2 receptor (Protein Group),Unknown,,,DB08804
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB08804
Insulin-like growth factor 1 receptor,Unknown,IGF1R,P08069,DB08804
Dopamine receptor (Protein Group),Unknown,,,DB08804
Dihydrofolate reductase,Yes,folA,P0ABQ4,DB00440
Dopamine D2 receptor,Yes,DRD2,P14416,DB00246
5-hydroxytryptamine receptor 2A,Yes,HTR2A,P28223,DB00246
5-hydroxytryptamine receptor 1A,Yes,HTR1A,P08908,DB00246
5-hydroxytryptamine receptor 1D,Yes,HTR1D,P28221,DB00246
5-hydroxytryptamine receptor 2C,Yes,HTR2C,P28335,DB00246
Dopamine D1 receptor,Unknown,DRD1,P21728,DB00246
Dopamine D5 receptor,Unknown,DRD5,P21918,DB00246
Dopamine D3 receptor,Unknown,DRD3,P35462,DB00246
Dopamine D4 receptor,Unknown,DRD4,P21917,DB00246
5-hydroxytryptamine receptor 1B,Unknown,HTR1B,P28222,DB00246
5-hydroxytryptamine receptor 1E,Unknown,HTR1E,P28566,DB00246
5-hydroxytryptamine receptor 6,Unknown,HTR6,P50406,DB00246
5-hydroxytryptamine receptor 7,Unknown,HTR7,P34969,DB00246
Histamine H1 receptor,Unknown,HRH1,P35367,DB00246
Alpha-1A adrenergic receptor,Unknown,ADRA1A,P35348,DB00246
Alpha-1B adrenergic receptor,Unknown,ADRA1B,P35368,DB00246
Alpha-2A adrenergic receptor,Unknown,ADRA2A,P08913,DB00246
Alpha-2B adrenergic receptor,Unknown,ADRA2B,P18089,DB00246
Alpha-2C adrenergic receptor,Unknown,ADRA2C,P18825,DB00246
Muscarinic acetylcholine receptor M1,Unknown,CHRM1,P11229,DB00246
Muscarinic acetylcholine receptor M2,Unknown,CHRM2,P08172,DB00246
Muscarinic acetylcholine receptor M3,Unknown,CHRM3,P20309,DB00246
Muscarinic acetylcholine receptor M4,Unknown,CHRM4,P08173,DB00246
Muscarinic acetylcholine receptor M5,Unknown,CHRM5,P08912,DB00246
5-hydroxytryptamine 3 receptor (Protein Group),Unknown,,,DB00246
5-hydroxytryptamine receptor 5A,Unknown,HTR5A,P47898,DB00246
Cyclin-dependent kinase 1,Unknown,CDK1,P06493,DB06195
Cyclin-dependent kinase 2,Unknown,CDK2,P24941,DB06195
Mitogen-activated protein kinase 3,Unknown,MAPK3,P27361,DB06195
Mitogen-activated protein kinase 1,Unknown,MAPK1,P28482,DB06195
Cyclin-dependent kinase 7,Unknown,CDK7,P50613,DB06195
Cyclin-dependent kinase 9,Unknown,CDK9,P50750,DB06195
Casein kinase I isoform epsilon,Unknown,CSNK1E,P49674,DB06195
Prostaglandin G/H synthase 2,Yes,PTGS2,P35354,DB00482
Carbonic anhydrase 2,Unknown,CA2,P00918,DB00482
Carbonic anhydrase 3,Unknown,CA3,P07451,DB00482
Cadherin-11,Unknown,CDH11,H3BUU9,DB00482
3-phosphoinositide-dependent protein kinase 1,Unknown,PDPK1,O15530,DB00482
Sialidase-1,Yes,NEU1,Q99519,DB00482
DNA topoisomerase 1,Yes,TOP1,P11387,DB01030
DNA,Yes,,,DB01030
"DNA topoisomerase I, mitochondrial",Unknown,TOP1MT,Q969P6,DB01030
Sodium/potassium-transporting ATPase subunit gamma,Yes,FXYD2,P54710,DB00606
Carbonic anhydrase (Protein Group),Yes,,,DB00606
Carbonic anhydrase 1,Unknown,CA1,P00915,DB00606
Carbonic anhydrase 2,Unknown,CA2,P00918,DB00606
Secreted frizzled-related protein 4,Unknown,SFRP4,Q6FHJ7,DB00606
Histamine H1 receptor,Yes,HRH1,P35367,DB00972
Histamine H2 receptor,Unknown,HRH2,P25021,DB00972
Phospholipase A2,Unknown,PLA2G1B,P04054,DB00972
Leukotriene C4 synthase,Unknown,LTC4S,Q16873,DB00972
Serine/threonine-protein kinase mTOR,Yes,MTOR,P42345,DB01590
Gamma-aminobutyric acid receptor subunit alpha-1,Yes,GABRA1,P14867,DB00273
Voltage-gated sodium channel alpha subunit (Protein Group),Yes,,,DB00273
Kainate receptors (Protein Group),Yes,,,DB00273
Carbonic anhydrase 2,Yes,CA2,P00918,DB00273
Carbonic anhydrase 4,Yes,CA4,P22748,DB00273
Voltage gated L-type calcium channel (Protein Group),Yes,,,DB00273
Carbonic anhydrase 1,Unknown,CA1,P00915,DB00273
Carbonic anhydrase 3,Unknown,CA3,P07451,DB00273
Voltage-dependent R-type calcium channel (Protein Group),Unknown,,,DB00273
Vascular endothelial growth factor receptor 2,Unknown,KDR,P35968,DB06436
