target_chembl_id,chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,uniprotId,pref_name,organism,standard_value,standard_units,standard_relation,pchembl_value,isHighQualityProbe,isTherapeuticTarget,proteinClass,concatenated_sources
CHEMBL1255163,"CHEMBL3633802,CHEMBL3188386","1971064,1677677","CHEMBL3635401,CHEMBL3635400",1,LITERATURE,Bioorg Med Chem Lett,2.6522946E7,10.1016/j.bmcl.2015.10.032,103574,Q9H237,Probable protein-cysteine N-palmitoyltransferase porcupine,Homo sapiens,"2.9,0.4",nM,=,"9.4,8.54",false,true,Enzyme,"impc,chembl,chembl"
CHEMBL1293224,"CHEMBL191083,CHEMBL297453,CHEMBL480","5975,67987,316765","CHEMBL2213420,CHEMBL2390683,CHEMBL3368556",1,LITERATURE,"ACS Med Chem Lett,J Med Chem,Eur J Med Chem","2.5086914E7,2.3484434E7,2.490041E7","10.1016/j.ejmech.2014.07.095,10.1021/jm3017317,10.1021/ml300216t",103657,P10636,Microtubule-associated protein tau,Homo sapiens,"1800.0,2200.0,2.5",nM,=,"5.66,5.75,8.6",false,"false,true",None,"ot_genetics_portal,eva,chembl,impc,eva,ot_genetics_portal,chembl"
CHEMBL1293237,CHEMBL2426168,1581289,CHEMBL2428261,1,LITERATURE,Bioorg Med Chem Lett,2.4012121E7,10.1016/j.bmcl.2013.08.025,103670,P54132,Bloom syndrome protein,Homo sapiens,1800.0,nM,=,5.75,false,false,None,chemicalProbes
CHEMBL1293249,CHEMBL4462423,2369432,CHEMBL4418633,38,PATENT,"","","",103682,Q13887,Kruppel-like factor 5,Homo sapiens,54.0,nM,=,7.27,false,false,TF,chemicalProbes
CHEMBL1293289,"CHEMBL2393130,CHEMBL2017291,CHEMBL4639128,CHEMBL3133807,CHEMBL3581647,CHEMBL4297454,CHEMBL4785363,CHEMBL4078100,CHEMBL1957266,CHEMBL4636881,CHEMBL1232461,CHEMBL4648362,CHEMBL4297458","2218011,2473439,2335429,1566719,2475686,1947706,1335014,2484913,1282795,694811,2521954,1625905,2335425","CHEMBL5054311,CHEMBL5162526,CHEMBL3585074,CHEMBL3584941,CHEMBL4650198,CHEMBL4724831,CHEMBL3773027,CHEMBL4432582,CHEMBL4668944,CHEMBL4727064,CHEMBL4626982,CHEMBL5156587","1,55","EUBOPEN_CGL,LITERATURE","Bioorg Med Chem,J Med Chem","2.6367539E7,2.6080064E7,3.5333526E7,3.3549905E7,2.7528113E7,3.2691589E7,3.2691591E7,3.4543572E7,3.4962793E7,3.2787145E7","10.6019/CHEMBL4649998,10.1021/acs.jmedchem.5b01135,10.1021/acs.jmedchem.5b00613,10.1021/acs.jmedchem.1c01864,10.1021/acs.jmedchem.6b00070,10.1021/acs.jmedchem.0c00605,10.1021/acs.jmedchem.1c00625,10.1021/acs.jmedchem.0c00614,10.1016/j.bmc.2021.116015,10.1021/acs.jmedchem.0c00566,10.1021/acs.jmedchem.2c00100",103722,P25440,Bromodomain-containing protein 2,Homo sapiens,"9.0,3.981,100.0,3.93,1.4,5.4,0.92,25.0,390.0,251.19,206.0,79.43,50.3",nM,=,"8.05,6.41,8.41,7.3,7.6,6.69,8.85,9.04,8.4,6.6,7.0,7.1,8.27","false,true","false,true",Epigenetic,"impc,chembl,impc,ot_genetics_portal,chembl,chemicalProbes,chembl,chemicalProbes,chembl"
CHEMBL1681631,"CHEMBL600764,CHEMBL1673415,CHEMBL1903566","1071721,585472,1244137","CHEMBL3135195,CHEMBL3135186,CHEMBL3135190",1,LITERATURE,Medchemcomm,2.5558349E7,10.1039/c3md00333g,103924,O75608,Acyl-protein thioesterase 1,Homo sapiens,"300.0,5.4,17.0",nM,=,"7.77,6.52,8.27",false,false,Enzyme,chemicalProbes
CHEMBL1741186,"CHEMBL4225088,CHEMBL2137199,CHEMBL38,CHEMBL2326408,CHEMBL1751,CHEMBL169","2297579,2208,581814,201200,1409150,1520596","CHEMBL3385309,CHEMBL3368933,CHEMBL2327512,CHEMBL3242032,CHEMBL3375302,CHEMBL4709763",1,LITERATURE,"ACS Med Chem Lett,Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","2.5305688E7,2.4704616E7,2.5453817E7,3.2870008E7,2.4502334E7,2.4040486E7","10.1021/jm401901d,10.1016/j.ejmech.2014.03.065,10.1016/j.bmcl.2014.09.053,10.1021/acs.jmedchem.0c00960,10.1021/ml300286h,10.1016/j.bmcl.2014.10.037",103982,P51449,Nuclear receptor ROR-gamma,Homo sapiens,"199.53,130.0,51.0,109.0,3.2,105.0",nM,=,"8.49,6.98,7.29,6.7,6.89,6.96","false,true",false,NR,"ot_genetics_portal,chemicalProbes,impc,ot_genetics_portal"
CHEMBL1743122,CHEMBL11,605,CHEMBL2154120,1,LITERATURE,J Med Chem,2.1599003E7,10.1021/jm2001629,104063,O15244,Solute carrier family 22 member 2,Homo sapiens,600.0,nM,=,6.22,false,false,Transporter,ot_genetics_portal
CHEMBL1743126,"CHEMBL55,CHEMBL163,CHEMBL46","3965,88100,3183","CHEMBL2320299,CHEMBL2320298",1,LITERATURE,J Med Chem,2.3241029E7,10.1021/jm301302s,104067,Q96FL8,Multidrug and toxin extrusion protein 1,Homo sapiens,"410.0,30.0,80.0",nM,=,"7.52,6.39,7.1",false,false,Transporter,"ot_genetics_portal,impc"
CHEMBL1743291,"CHEMBL691,CHEMBL135","31241,27626",CHEMBL3537872,1,LITERATURE,Drug Metab Dispos,2.2593037E7,10.1124/dmd.112.045583,104076,P50225,Sulfotransferase 1A1,Homo sapiens,"4.3,1200.0",nM,=,"8.37,5.92",false,false,Enzyme,"ot_genetics_portal,impc"
CHEMBL1770034,"CHEMBL4446338,CHEMBL4455633","2362642,2353347",CHEMBL4406349,1,LITERATURE,J Med Chem,3.229812E7,10.1021/acs.jmedchem.0c00227,104126,Q8TBX8,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,Homo sapiens,"4.8,3.4",nM,=,"8.32,8.47",true,false,Kinase,chemicalProbes
CHEMBL1770047,"CHEMBL1770248,CHEMBL1819489","1142547,1171697","CHEMBL1821169,CHEMBL1772493",1,LITERATURE,"Bioorg Med Chem,J Med Chem","2.1873071E7,2.1449606E7","10.1016/j.bmc.2011.08.005,10.1021/jm200049r",104139,Q9NY91,Low affinity sodium-glucose cotransporter,Homo sapiens,"11.0,0.877",nM,=,"9.06,7.96",false,false,Transporter,chemicalProbes
CHEMBL1772932,CHEMBL5084426,2728877,CHEMBL5059584,54,DONATED_PROBES,"","",10.6019/CHEMBL5058649,104146,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1,Homo sapiens,3.3,nM,=,8.48,true,false,Kinase,chemicalProbes
CHEMBL1787,"CHEMBL710,CHEMBL1200969,CHEMBL118446","674920,195926,33679","CHEMBL805444,CHEMBL811334,CHEMBL4371136",1,LITERATURE,J Med Chem,"2.9400967E7,7707319.0,1.1020287E7","10.1021/jm000945r,10.1021/jm00007a013,10.1021/acs.jmedchem.7b01788",79,P18405,Steroid 5-alpha-reductase 1,Homo sapiens,"2.7,26.3,4.0",nM,=,"8.57,8.4,7.58",false,"false,true",Enzyme,"chemicalProbes,chembl"
CHEMBL1792,"CHEMBL1680,CHEMBL1080585,CHEMBL236788,CHEMBL1823872,CHEMBL1201185","616837,402028,511465,675136,1173967","CHEMBL1113031,CHEMBL4330499,CHEMBL801206,CHEMBL857866",1,LITERATURE,"Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","1.1266182E7,1.9786348E7,3.0503939E7,1.2773038E7","10.1016/j.bmcl.2009.09.024,10.1016/j.ejmech.2018.11.030,10.1021/jm021093t,10.1016/s0960-894x(01)00051-8",11265,P35346,Somatostatin receptor 5,Homo sapiens,"3.981,22.0,3.0,13.0,0.065",nM,=,"8.52,7.66,7.89,8.4,10.19","false,true","false,true",GPCR,"impc,chembl,chemicalProbes"
CHEMBL1793,"CHEMBL3301581,CHEMBL525610","500007,1763543","CHEMBL4026745,CHEMBL4195664",1,LITERATURE,J Med Chem,"2.9064243E7,2.9932656E7","10.1021/acs.jmedchem.7b00876,10.1021/acs.jmedchem.8b00182",160,Q03431,Parathyroid hormone receptor,Homo sapiens,"0.02,0.08",nM,=,"10.7,10.1",false,true,GPCR,"impc,eva,chembl,chembl"
CHEMBL1795143,CHEMBL4286938,2326386,CHEMBL4265322,1,LITERATURE,J Med Chem,3.0403352E7,10.1021/acs.jmedchem.8b01407,104223,Q86W56,Poly(ADP-ribose) glycohydrolase,Homo sapiens,26.0,nM,=,7.58,true,false,Enzyme,chemicalProbes
CHEMBL1795168,"CHEMBL53463,CHEMBL595","19737,78759",CHEMBL3863231,1,LITERATURE,Bioorg Med Chem Lett,2.7687671E7,10.1016/j.bmcl.2016.09.009,104248,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,Homo sapiens,"3451.0,370.0",nM,=,"5.46,6.43",false,false,None,"ot_genetics_portal,impc"
CHEMBL1795188,"CHEMBL34259,CHEMBL605580","603237,49931","CHEMBL1067647,CHEMBL4194632",1,LITERATURE,J Med Chem,"2.9425443E7,2.0085328E7","10.1021/acs.jmedchem.7b01708,10.1021/jm9015729",104268,Q96NT5,Proton-coupled folate transporter,Homo sapiens,"100.0,121.0",nM,=,"6.92,7.0",false,false,Transporter,"uniprot_literature,impc,eva,orphanet,ot_genetics_portal,gene2phenotype,uniprot_variants,chemicalProbes"
CHEMBL1795192,"CHEMBL4877117,CHEMBL445813","2570888,511261","CHEMBL1908458,CHEMBL5146317",1,LITERATURE,"J Med Chem,Nat Biotechnol","3.5235745E7,2.2037378E7","10.1038/nbt.1990,10.1021/acs.jmedchem.1c02190",104272,Q14004,Cyclin-dependent kinase 13,Homo sapiens,"4.9,3.2",nM,=,"8.49,8.31",false,"false,true",Kinase,"chemicalProbes,chembl"
CHEMBL1804,"CHEMBL305279,CHEMBL408350,CHEMBL1680,CHEMBL3144285,CHEMBL262135,CHEMBL1823872,CHEMBL1201185","1633576,108066,321172,320848,511465,675136,1173967","CHEMBL807096,CHEMBL857870,CHEMBL828437,CHEMBL828435,CHEMBL805714,CHEMBL4841562",1,LITERATURE,"Bioorg Med Chem,J Med Chem","1.1520208E7,1.5828816E7,9632348.0,1.2773038E7,3.4626901E7","10.1021/jm040794i,10.1016/j.bmc.2021.116424,10.1021/jm0108449,10.1021/jm021093t,10.1021/jm980194h",117,P30874,Somatostatin receptor 2,Homo sapiens,"0.035,0.78,4.0,14.0,0.2,0.03,0.5012",nM,=,"9.11,10.52,10.46,9.7,8.4,9.3,7.85",false,"false,true",GPCR,"chemicalProbes,chembl"
CHEMBL1821,"CHEMBL3545181,CHEMBL21731,CHEMBL629,CHEMBL490,CHEMBL1101,CHEMBL1113,CHEMBL716,CHEMBL1734,CHEMBL643,CHEMBL657,CHEMBL1231,CHEMBL564,CHEMBL21536,CHEMBL6437,CHEMBL2057417,CHEMBL1346,CHEMBL1382,CHEMBL479,CHEMBL1910856,CHEMBL517712,CHEMBL1123,CHEMBL71,CHEMBL728,CHEMBL415,CHEMBL1201027,CHEMBL715,CHEMBL1628227,CHEMBL3084748,CHEMBL1589763,CHEMBL551466,CHEMBL376897,CHEMBL59898,CHEMBL445,CHEMBL42","1353168,996,1013647,370289,321964,6643,6216,2261,27713,1927030,37266,34197,229058,573,562404,291960,27629,27368,27072,165774,155045,445395,5970,1250454,561914,94171,26653,2262,151063,16391,674978,1594639,34234,1051118","CHEMBL2320373,CHEMBL4309933,CHEMBL1048034,CHEMBL1913684,CHEMBL749860,CHEMBL1909173,CHEMBL1291432,CHEMBL932205,CHEMBL895629,CHEMBL933759,CHEMBL2380032,CHEMBL4119547,CHEMBL4306810,CHEMBL4615173","15,1","DRUGMATRIX,LITERATURE","ACS Med Chem Lett,Bioorg Med Chem,Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","1.9928767E7,1.1831911E7,2.3177787E7,3.1223452E7,1.8042383E7,2.3523385E7,3.2374602E7,1.7880057E7,2.1870878E7,2.1036043E7,1.8395442E7,2.8609709E7,3.0106578E7","10.1021/acs.jmedchem.8b00875,10.1016/j.ejmech.2017.06.004,10.1016/j.bmcl.2012.10.073,10.1016/j.bmcl.2007.11.022,10.1021/jm901048j,10.1021/acsmedchemlett.9b00106,10.1016/j.bmcl.2010.10.016,10.1021/jm200884j,10.1016/j.bmcl.2008.03.061,10.1021/acs.jmedchem.9b02100,10.1021/jm010480k,10.1021/jm070516u,10.1016/j.bmc.2013.01.072",214,P08173,Muscarinic acetylcholine receptor M4,Homo sapiens,"42.0,125.89,21.0,12.59,11.0,6.0,0.739,8.6,0.1585,0.104,32.1,52.0,95.0,3.1,0.115,6.457,0.03981,13.0,1.057,0.278,242.0,0.411,34.0,58.0,56.0,190.0,1.445,0.1413,6.303,128.82,5.842,288.0,0.1995",nM,=,"7.02,9.13,9.39,8.07,9.98,7.96,9.94,8.23,6.54,7.9,7.47,8.19,7.25,7.38,8.22,9.8,8.51,7.89,7.28,8.2,9.7,6.72,7.68,9.85,8.98,9.56,7.49,7.24,8.84,6.89,6.9,6.62,10.4","false,true","false,true",GPCR,"ot_genetics_portal,impc,impc,ot_genetics_portal,chembl,chemicalProbes,chembl,impc,ot_genetics_portal"
CHEMBL1833,"CHEMBL47050,CHEMBL21731,CHEMBL629,CHEMBL27,CHEMBL360328,CHEMBL39,CHEMBL1113,CHEMBL726,CHEMBL442,CHEMBL716,CHEMBL263881,CHEMBL7257,CHEMBL621,CHEMBL81,CHEMBL15245,CHEMBL1201356,CHEMBL643,CHEMBL157138,CHEMBL1336,CHEMBL564,CHEMBL6437,CHEMBL243712,CHEMBL294951,CHEMBL194378,CHEMBL479,CHEMBL46516,CHEMBL723,CHEMBL71,CHEMBL728,CHEMBL415,CHEMBL2105760,CHEMBL715,CHEMBL708,CHEMBL1628227,CHEMBL707,CHEMBL1732,CHEMBL85,CHEMBL493,CHEMBL350221,CHEMBL1201087,CHEMBL6966,CHEMBL445,CHEMBL1112,CHEMBL42","675307,996,301194,36842,33373,6216,36662,2261,2232,276734,33664,2203,15191,27713,37266,1370,262631,65404,34197,155006,601,1378030,573,675038,27368,7065,389011,27072,155045,6914,558566,5970,263558,66238,2262,7714,16391,26401,66843,34234,2214,1219,331146,1051118","CHEMBL4314361,CHEMBL3773630,CHEMBL895621,CHEMBL883724,CHEMBL617645,CHEMBL1909104,CHEMBL895622,CHEMBL2167683,CHEMBL4670124,CHEMBL4260800,CHEMBL2340914,CHEMBL1285546,CHEMBL2328669,CHEMBL3095680,CHEMBL863543,CHEMBL3821450","15,1","DRUGMATRIX,LITERATURE","ACS Med Chem Lett,Bioorg Med Chem,Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","2.7312422E7,1.2213075E7,2.3177783E7,1.6061378E7,2.2694093E7,2.3606928E7,1.6392816E7,2.0958049E7,3.2853682E7,2.6704965E7,1.7880057E7,2.4189186E7,3.038929E7,3.1586817E7","10.1016/j.ejmech.2019.111736,10.1021/jm020153s,10.1016/j.bmc.2016.05.053,10.1021/jm100600y,10.1021/jm300338m,10.1016/j.bmc.2013.10.010,10.1021/jm050663x,10.1021/ml3003814,10.1016/j.bmcl.2020.127511,10.1016/j.bmcl.2005.06.104,10.1021/jm070516u,10.1021/acs.jmedchem.5b01153,10.1016/j.bmcl.2012.10.091,10.1016/j.bmcl.2018.10.036",227,P41595,Serotonin 2b (5-HT2b) receptor,Homo sapiens,"68.0,3.242,135.9,218.0,4.33,0.36,105.0,184.0,52.0,0.8,316.23,25.0,1.3,82.0,74.0,43.0,2.0,234.0,1.585,4.642,3.162,1.0,69.0,65.0,6.569,5.292,214.0,56.0,30.0,0.3981,15.0,0.07079,1.4,6.31,86.0,221.0,47.0,45.0,151.4,152.0,39.81,2.203",nM,=,"8.89,8.7,7.52,7.19,7.82,9.1,6.66,6.82,7.35,6.74,9.44,8.49,9.4,8.36,8.18,8.28,6.87,8.33,7.09,8.66,7.25,6.5,6.63,10.15,8.8,7.07,7.33,6.98,7.28,8.85,8.2,7.17,6.67,9.0,8.5,7.13,7.6,7.16,7.4,7.37",false,"false,true",GPCR,"impc,impc,chembl,chembl"
CHEMBL1845,CHEMBL3707392,2039363,CHEMBL4765991,1,LITERATURE,J Med Chem,2.7690427E7,10.1021/acs.jmedchem.6b00939,131,P35498,Sodium channel protein type I alpha subunit,Homo sapiens,3400.0,nM,=,5.47,false,true,IC,"impc,chembl"
CHEMBL1853,"CHEMBL1680,CHEMBL3421842,CHEMBL262135,CHEMBL1823872","321172,1841279,511465,1173967","CHEMBL4369218,CHEMBL803857,CHEMBL828445,CHEMBL3424505",1,LITERATURE,"ACS Med Chem Lett,J Med Chem,Medchemcomm","1.5828816E7,3.0746066E7,2.5699156E7,9216843.0","10.1021/ml500538a,10.1021/jm960850i,10.1021/jm040794i,10.1039/C8MD00388B",10183,P31391,Somatostatin receptor 4,Homo sapiens,"66.0,300.0,0.08,0.4",nM,=,"9.4,7.18,6.52,10.1",false,"false,true",GPCR,"chemicalProbes,chembl"
CHEMBL1854,CHEMBL4458424,2365433,CHEMBL4323785,1,LITERATURE,J Med Chem,3.1670515E7,10.1021/acs.jmedchem.9b01382,95,P22888,Luteinizing hormone/Choriogonadotropin receptor,Homo sapiens,185.0,nM,=,6.73,true,false,GPCR,chemicalProbes
CHEMBL1856,CHEMBL710,33679,CHEMBL810001,1,LITERATURE,J Med Chem,8057283.0,10.1021/jm00041a014,120,P31213,Steroid 5-alpha-reductase 2,Homo sapiens,0.18,nM,=,9.74,false,true,Enzyme,"ot_genetics_portal,chemicalProbes,chembl"
CHEMBL1861,CHEMBL1337,281549,CHEMBL3388490,1,LITERATURE,Bioorg Med Chem,2.5182962E7,10.1016/j.bmc.2014.08.011,123,P32754,4-hydroxyphenylpyruvate dioxygenase,Homo sapiens,37.0,nM,=,7.43,false,true,Enzyme,"uniprot_literature,impc,eva,clingen,chembl,uniprot_variants"
CHEMBL1864,"CHEMBL2107831,CHEMBL461101","1380101,457398","CHEMBL3881317,CHEMBL997705","1,38","PATENT,LITERATURE",Bioorg Med Chem Lett,1.8783949E7,10.1016/j.bmcl.2008.08.077,265,P40238,Thrombopoietin receptor,Homo sapiens,"38.0,1.09",nM,=,"8.96,7.42",false,true,None,"impc,eva,chembl,uniprot_literature,impc,eva,orphanet,intogen,clingen,chembl,eva_somatic,uniprot_variants,cancer_gene_census"
CHEMBL1866,"CHEMBL2070953,CHEMBL74355","1361108,120674","CHEMBL819395,CHEMBL2071936",1,LITERATURE,"Bioorg Med Chem Lett,J Med Chem","1.1170639E7,2.2910039E7","10.1021/jm0002432,10.1016/j.bmcl.2012.07.060",12930,P51787,Voltage-gated potassium channel subunit Kv7.1,Homo sapiens,"1060.0,260.0",nM,=,"5.97,6.58","false,true","false,true",IC,"chemicalProbes,chembl"
CHEMBL1870,"CHEMBL75133,CHEMBL38,CHEMBL1023,CHEMBL705","2208,119754,119498,33216","CHEMBL798320,CHEMBL772119,CHEMBL806663,CHEMBL651296",1,LITERATURE,"Bioorg Med Chem Lett,J Med Chem","1.2161154E7,9435893.0,1.1428923E7,7650690.0","10.1021/jm9704309,10.1016/s0960-894x(02)00427-4,10.1021/jm0100584,10.1021/jm00017a021",277,P28702,Retinoid X receptor beta,Homo sapiens,"0.8,5.9,0.5,2.6",nM,=,"8.59,9.1,9.3,8.23",false,true,NR,"impc,chembl,chembl"
CHEMBL1875,"CHEMBL3306918,CHEMBL1632158,CHEMBL39,CHEMBL1258452,CHEMBL1729,CHEMBL356359,CHEMBL76370,CHEMBL117287,CHEMBL2087337,CHEMBL56564,CHEMBL2152922,CHEMBL2402904","707462,88800,122247,557741,1768889,1055210,238731,191172,1570499,2214,1423605,1364998","CHEMBL620696,CHEMBL1259740,CHEMBL1640597,CHEMBL2090176,CHEMBL2404387,CHEMBL962555,CHEMBL2185685,CHEMBL964234,CHEMBL2060288,CHEMBL3744960",1,LITERATURE,"Bioorg Med Chem,Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","1.9334715E7,2.1075638E7,2.3756062E7,2.0812727E7,1.2747773E7,2.6363507E7,2.2959244E7,2.2974325E7,1.9261477E7,2.2683222E7","10.1016/j.bmcl.2012.08.051,10.1016/j.bmcl.2013.05.018,10.1016/j.bmc.2010.10.011,10.1021/jm300953p,10.1016/j.ejmech.2015.08.051,10.1021/jm801327q,10.1016/j.bmcl.2012.05.034,10.1016/j.bmc.2008.11.045,10.1021/jm100668r,10.1021/jm0205651",168,Q13639,Serotonin 4 (5-HT4) receptor,Homo sapiens,"199.53,1.0,12.0,2.4,2.512,0.1072,0.05248,0.631,17.0,0.15,0.3981,29.0",nM,=,"9.0,10.28,9.82,9.4,7.77,7.92,8.62,8.6,6.7,9.2,7.54,9.97",false,"false,true",GPCR,"impc,chembl,chemicalProbes,chembl"
CHEMBL1881,"CHEMBL64246,CHEMBL181035,CHEMBL3586360,CHEMBL3707245,CHEMBL563646,CHEMBL1237119,CHEMBL548,CHEMBL3286797","1949578,699470,1757318,2039216,96181,14125,559503,303056","CHEMBL5127968,CHEMBL839479,CHEMBL4326151,CHEMBL763189,CHEMBL4386414,CHEMBL3588430,CHEMBL3294249,CHEMBL5210273","1,65","LIT_EUBOPEN_CGL,LITERATURE","Bioorg Med Chem Lett,J Med Chem,Eur J Med Chem","2.4279689E7,2.9995405E7,2.6061158E7,1.5664806E7,1.1454472E7,3.5124532E7,3.0964292E7","10.1021/jm401431x,10.1021/acs.jmedchem.9b00336,10.1021/acs.jmedchem.5b00567,10.1016/j.bmcl.2004.11.051,10.1021/acs.jmedchem.8b00808,10.6019/CHEMBL5210121,10.1016/s0960-894x(01)00359-6,10.1016/j.ejmech.2022.114154",142,P43116,Prostanoid EP2 receptor,Homo sapiens,"5.0,8.0,1.1,0.74,1.8,6.2,1.03",nM,=,"8.3,8.99,8.74,9.13,8.21,8.1,8.96","false,true","false,true",GPCR,"chemicalProbes,chembl"
CHEMBL1898,"CHEMBL1631540,CHEMBL1278,CHEMBL39,CHEMBL128,CHEMBL85,CHEMBL905,CHEMBL1510,CHEMBL1279,CHEMBL12713,CHEMBL442,CHEMBL1185","1054194,196215,7714,27111,421034,250297,2214,250328,10813,2203,79047","CHEMBL5047421,CHEMBL616430,CHEMBL616962,CHEMBL1635436,CHEMBL616444,CHEMBL3226683,CHEMBL617319,CHEMBL965237,CHEMBL1912148",1,LITERATURE,"Bioorg Med Chem Lett,J Med Chem,Medchemcomm,Eur J Med Chem","9986723.0,1.8507369E7,1.2519065E7,2.1053897E7,3.4922191E7,2.1982496E7,1.1262079E7,7658443.0","10.1021/jm100714c,10.1021/jm020938y,10.1016/j.bmcl.2011.09.046,10.1021/jm9805945,10.1021/jm00018a016,10.1021/jm7011722,10.1016/j.ejmech.2021.114045,10.1039/C2MD00311B,10.1021/jm000956k",106,P28222,Serotonin 1b (5-HT1b) receptor,Homo sapiens,"3.3,2.1,3.162,1.1,10.3,11.64,10.0,56.0,0.5012,1.5,10.1",nM,=,"8.5,8.0,7.93,8.68,8.82,7.25,8.96,9.3,8.48,7.99",false,true,GPCR,"impc,chembl,chembl"
